Listing_ID,Building_Name,Street_Address,Zip_Code,Unit_Type,Base_Rent_USD,Flat_Utility_Fee_USD,Mandatory_Tech_Fee_USD,Application_Fee_USD,Security_Deposit_Structure,Laundry_Facilities,Air_Conditioning,Flooring_Type,Pet_Policy,Special_Features
ZIL-001,Sherman Avenue Residences,298 Sherman Ave,60201,1 Bed,1668,139,50.0,100,$500 Non-refundable Move-in Fee,In-Unit,Central AC,Modern Luxury Vinyl Plank,"Allowed (2 pet limit, no weight restrictions)","Modern luxury building, rooftop deck access, fitness center"
ZIL-002,The Main Street Vintage,2088 Main St,60202,1 Bed,1598,128,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-003,The Main Street Vintage,388 Main St,60202,1 Bed,1653,138,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-004,917-925 Hinman Ave,1923 Hinman Ave,60202,Studio,1241,82,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
ZIL-005,Sherman Avenue Residences,1435 Sherman Ave,60201,2 Bed,1826,195,50.0,100,$500 Non-refundable Move-in Fee,In-Unit,Central AC,Modern Luxury Vinyl Plank,"Allowed (2 pet limit, no weight restrictions)","Modern luxury building, rooftop deck access, fitness center"
ZIL-006,Carlson Building,357 Church St,60201,3 Bed,2711,283,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-007,The Orrington Flats,553 Orrington Ave,60201,1 Bed,1640,123,25.0,90,1 Month Rent,In-Unit,Central AC,Hardwood & Tile,Cats only (2 limit),"Heart of downtown, steps to Target and Starbucks, premium campus proximity"
ZIL-008,The Main Street Vintage,1653 Main St,60202,2 Bed,1903,192,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-009,Carlson Building,1813 Church St,60201,3 Bed,2534,295,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-010,605 Hinman,487 Hinman Ave,60202,2 Bed,1851,197,35.67,95,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (2 pet limit, no weight restrictions)","Vintage charm, near Lake Michigan, tech bundle required"
ZIL-011,917-925 Hinman Ave,138 Hinman Ave,60202,Studio,1294,91,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
ZIL-012,917-925 Hinman Ave,1868 Hinman Ave,60202,2 Bed,1787,181,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
ZIL-013,Carlson Building,717 Church St,60201,2 Bed,1697,204,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-014,The Orrington Flats,2046 Orrington Ave,60201,2 Bed,2001,208,25.0,90,1 Month Rent,In-Unit,Central AC,Hardwood & Tile,Cats only (2 limit),"Heart of downtown, steps to Target and Starbucks, premium campus proximity"
ZIL-015,Carlson Building,1375 Church St,60201,3 Bed,2927,302,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-016,Carlson Building,444 Church St,60201,4 Bed,3306,360,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-017,605 Hinman,1911 Hinman Ave,60202,1 Bed,1662,144,35.67,95,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (2 pet limit, no weight restrictions)","Vintage charm, near Lake Michigan, tech bundle required"
ZIL-018,605 Hinman,1986 Hinman Ave,60202,3 Bed,2856,309,35.67,95,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (2 pet limit, no weight restrictions)","Vintage charm, near Lake Michigan, tech bundle required"
ZIL-019,The Main Street Vintage,922 Main St,60202,1 Bed,1576,160,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-020,The Main Street Vintage,714 Main St,60202,2 Bed,1772,182,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-021,917-925 Hinman Ave,344 Hinman Ave,60202,1 Bed,1677,114,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
ZIL-022,Sherman Avenue Residences,888 Sherman Ave,60201,2 Bed,2104,181,50.0,100,$500 Non-refundable Move-in Fee,In-Unit,Central AC,Modern Luxury Vinyl Plank,"Allowed (2 pet limit, no weight restrictions)","Modern luxury building, rooftop deck access, fitness center"
ZIL-023,917-925 Hinman Ave,1247 Hinman Ave,60202,2 Bed,1965,182,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
ZIL-024,Carlson Building,1840 Church St,60201,2 Bed,2107,186,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-025,605 Hinman,1100 Hinman Ave,60202,3 Bed,2997,290,35.67,95,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (2 pet limit, no weight restrictions)","Vintage charm, near Lake Michigan, tech bundle required"
ZIL-026,605 Hinman,157 Hinman Ave,60202,2 Bed,1810,180,35.67,95,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (2 pet limit, no weight restrictions)","Vintage charm, near Lake Michigan, tech bundle required"
ZIL-027,The Main Street Vintage,282 Main St,60202,2 Bed,2099,200,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-028,917-925 Hinman Ave,2030 Hinman Ave,60202,Studio,1402,88,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
ZIL-029,The Main Street Vintage,175 Main St,60202,1 Bed,1646,131,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-030,Carlson Building,1592 Church St,60201,2 Bed,1983,201,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-031,The Orrington Flats,1002 Orrington Ave,60201,1 Bed,1512,157,25.0,90,1 Month Rent,In-Unit,Central AC,Hardwood & Tile,Cats only (2 limit),"Heart of downtown, steps to Target and Starbucks, premium campus proximity"
ZIL-032,Sherman Avenue Residences,593 Sherman Ave,60201,Studio,1255,84,50.0,100,$500 Non-refundable Move-in Fee,In-Unit,Central AC,Modern Luxury Vinyl Plank,"Allowed (2 pet limit, no weight restrictions)","Modern luxury building, rooftop deck access, fitness center"
ZIL-033,Carlson Building,197 Church St,60201,2 Bed,1754,191,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-034,The Orrington Flats,1592 Orrington Ave,60201,2 Bed,1837,201,25.0,90,1 Month Rent,In-Unit,Central AC,Hardwood & Tile,Cats only (2 limit),"Heart of downtown, steps to Target and Starbucks, premium campus proximity"
ZIL-035,Sherman Avenue Residences,1403 Sherman Ave,60201,1 Bed,1550,139,50.0,100,$500 Non-refundable Move-in Fee,In-Unit,Central AC,Modern Luxury Vinyl Plank,"Allowed (2 pet limit, no weight restrictions)","Modern luxury building, rooftop deck access, fitness center"
ZIL-036,917-925 Hinman Ave,1146 Hinman Ave,60202,2 Bed,1938,203,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
ZIL-037,Carlson Building,1316 Church St,60201,3 Bed,2599,299,0.0,75,1.5 Month Rent,Shared (On-site),Optional ($450/year fee),Hardwood,"Allowed (2 pet limit, under 50 lbs)","Downtown location, elevator building, vintage 8-story, free October rent promotion"
ZIL-038,605 Hinman,1503 Hinman Ave,60202,1 Bed,1510,147,35.67,95,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (2 pet limit, no weight restrictions)","Vintage charm, near Lake Michigan, tech bundle required"
ZIL-039,The Main Street Vintage,311 Main St,60202,2 Bed,2079,201,0.0,60,1 Month Rent,Shared (On-site),Window Unit (Not Included),Hardwood,"Allowed (1 pet limit, under 25 lbs)","Right next to Main St Metra/CTA, courtyard style building"
ZIL-040,917-925 Hinman Ave,237 Hinman Ave,60202,2 Bed,1839,210,0.0,85,Rhino Security Deposit Insurance or 1 Month Rent,Shared (Laundry Room),Window Mounted Unit Included,Hardwood,"Allowed (2 pet limit, 40 lbs weight limit)","Abundance of greenery, historic building charm, close to shops"
